Название товара,Цена товара,Ссылка на товар
"Видеокарта GIGABYTE GeForce GT 730 (rev. 2.0) [GV-N730D5-2GI rev. 2.0] [PCI-E 2.0, 2 ГБ GDDR5, 64 бит, 902 МГц, HDMI, VGA (D-Sub), DVI-D]",5299,https://www.dns-shop.ru/product/acfdb4820ba93332/videokarta-gigabyte-geforce-gt-730-rev-20-gv-n730d5-2gi-rev-20/
"Видеокарта MSI GeForce GT 730 [N730-2GD3V2] [PCI-E 2.0, 2 ГБ GDDR3, 128 бит, 700 МГц, HDMI, VGA (D-Sub), DVI-D]",5299,https://www.dns-shop.ru/product/5caa2073503c3361/videokarta-msi-geforce-gt-730-n730-2gd3v2/
"Видеокарта ZOTAC GeForce GT 730 Zone Edition [ZT-71113-20L] [PCI-E 2.0, 2 ГБ GDDR3, 64 бит, 902 МГц, HDMI, VGA (D-Sub), DVI-D]",5299,https://www.dns-shop.ru/product/8aa7011901041b80/videokarta-zotac-geforce-gt-730-zone-edition-zt-71113-20l/
"Видеокарта GigaByte GeForce GT 730 LP [GV-N730D5-2GL] [PCI-E 2.0, 2 ГБ GDDR5, 64 бит, 902 МГц, HDMI, DVI-I]",5499,https://www.dns-shop.ru/product/e5fcb990de4e3330/videokarta-gigabyte-geforce-gt-730-lp-gv-n730d5-2gl/
"Видеокарта MSI GeForce GT 730 [N730-4GD3] [PCI-E 2.0, 4 ГБ GDDR3, 128 бит, 750 МГц, HDMI, VGA (D-Sub), DVI-I]",6299,https://www.dns-shop.ru/product/1d245a204f5c4699/videokarta-msi-geforce-gt-730-n730-4gd3/
"Видеокарта MSI GeForce GT 1030 LP OC [GT 1030 2GHD4 LP OC] [PCI-E 3.0, 2 ГБ GDDR4, 64 бит, 1189 МГц - 1430 МГц, HDMI, DisplayPort]",6899,https://www.dns-shop.ru/product/d28f559559763330/videokarta-msi-geforce-gt-1030-lp-oc-gt-1030-2ghd4-lp-oc/
"Видеокарта GigaByte GeForce GT 1030 [GV-N1030SL-2GL] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1227 МГц - 1506 МГц, HDMI, DVI-D]",7099,https://www.dns-shop.ru/product/269d685c39283330/videokarta-gigabyte-geforce-gt-1030-gv-n1030sl-2gl/
"Видеокарта Asus GeForce GT 1030 Silent LP [GT1030-SL-2G-BRK] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1228 МГц - 1506 МГц, HDMI, DVI-D]",7399,https://www.dns-shop.ru/product/5b4d953c4feb3330/videokarta-asus-geforce-gt-1030-silent-lp-gt1030-sl-2g-brk/
"Видеокарта MSI GeForce GT 1030 AERO ITX OC [GT 1030 AERO ITX 2GD4 OC] [PCI-E 3.0, 2 ГБ GDDR4, 64 бит, 1189 МГц - 1430 МГц, HDMI, DVI-D]",7399,https://www.dns-shop.ru/product/f065530849f23330/videokarta-msi-geforce-gt-1030-aero-itx-oc-gt-1030-aero-itx-2gd4-oc/
"Видеокарта Asus GeForce GT 1030 LP [GT1030-2G-BRK] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1228 МГц - 1506 МГц, HDMI, DisplayPort]",7499,https://www.dns-shop.ru/product/3b56d77d21cf3330/videokarta-asus-geforce-gt-1030-lp-gt1030-2g-brk/
"Видеокарта Palit GeForce GT 1030 LP [NE5103000646-1080F] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1227 МГц - 1468 МГц, HDMI, DVI-D]",7499,https://www.dns-shop.ru/product/8e8c880c49a73330/videokarta-palit-geforce-gt-1030-lp-ne5103000646-1080f/
"Видеокарта GigaByte GeForce GT 1030 [GV-N1030D5-2GL] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1227 МГц - 1506 МГц, HDMI, DVI-D]",7599,https://www.dns-shop.ru/product/1f48fe4d39283330/videokarta-gigabyte-geforce-gt-1030-gv-n1030d5-2gl/
"Видеокарта GIGABYTE GeForce GT 1030 Low Profile D4 2G [GV-N1030D4-2GL] [PCI-E 3.0, 2 ГБ GDDR4, 64 бит, 1151 МГц - 1417 МГц, HDMI, DVI-D]",7799,https://www.dns-shop.ru/product/246b8ebd54e13330/videokarta-gigabyte-geforce-gt-1030-low-profile-d4-2g-gv-n1030d4-2gl/
"Видеокарта Asus GeForce GT 1030 PHOENIX [PH-GT1030-O2G] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1252 МГц - 1531 МГц, HDMI, DVI-D]",8699,https://www.dns-shop.ru/product/3ba578d64feb3330/videokarta-asus-geforce-gt-1030-phoenix-ph-gt1030-o2g/
"Видеокарта Sapphire AMD Radeon RX 550 PULSE [11268-21-20G] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1071 МГц - 1206 МГц, HDMI, DisplayPort, DVI-D]",9999,https://www.dns-shop.ru/product/bc19b58f51283332/videokarta-sapphire-amd-radeon-rx-550-pulse-11268-21-20g/
"Видеокарта PowerColor AMD Radeon RX 550 Red Dragon [AXRX 550 2GB64BD5-DH] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1100 МГц, HDMI, DisplayPort, DVI-D]",11299,https://www.dns-shop.ru/product/5450aad9aa191b80/videokarta-powercolor-amd-radeon-rx-550-red-dragon-axrx-550-2gb64bd5-dh/
"Видеокарта Asus AMD Radeon 550 Phoenix [PH-550-2G] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1100 МГц, HDMI, DisplayPort, DVI-D]",11799,https://www.dns-shop.ru/product/c76e4cc30dc43332/videokarta-asus-amd-radeon-550-phoenix-ph-550-2g/
"Видеокарта MSI AMD Radeon RX 550 AERO ITX OC [550 AERO ITX 2G OC] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1100 МГц - 1203 МГц, HDMI, DisplayPort, DVI-D]",11999,https://www.dns-shop.ru/product/334dac891f031b80/videokarta-msi-amd-radeon-rx-550-aero-itx-oc-550-aero-itx-2g-oc/
"Видеокарта PowerColor AMD Radeon RX 550 Red Dragon [AXRX 550 4GBD5-DH] [PCI-E 3.0, 4 ГБ GDDR5, 128 бит, 1071 МГц, HDMI, DisplayPort, DVI-D]",13999,https://www.dns-shop.ru/product/2e4cbe9d6cdb3332/videokarta-powercolor-amd-radeon-rx-550-red-dragon-axrx-550-4gbd5-dh/
