Название товара,Цена товара,Ссылка на товар
"Оперативная память Kingston HyperX FURY Black [HX424C15FB3/4] 4 ГБ [DDR4, 4 ГБx1 шт, 2400 МГц, PC19200, 15-15-15-29]",2050,https://www.dns-shop.ru/product/58db54adc2123332/operativnaa-pamat-kingston-hyperx-fury-black-hx424c15fb34-4-gb/
"Оперативная память AData Premier [AD4U2400J4G17-S] 4 ГБ [DDR4, 4 ГБx1 шт, 2400 МГц, PC19200, 17-17-17]",2099,https://www.dns-shop.ru/product/7318111740b33332/operativnaa-pamat-adata-premier-ad4u2400j4g17-s-4-gb/
"Оперативная память AData Premier [AD4U2666J4G19-S] 4 ГБ [DDR4, 4 ГБx1 шт, 2666 МГц, PC4-21300, 19]",2099,https://www.dns-shop.ru/product/536426f6c1223330/operativnaa-pamat-adata-premier-ad4u2666j4g19-s-4-gb/
"Оперативная память AMD Radeon R7 Performance Series [R7S44G2606U1S] 4 ГБ [DDR4, 4 ГБx1 шт, 2666 МГц, PC21300, 16-18-18-35]",2099,https://www.dns-shop.ru/product/fb8c20f170a43332/operativnaa-pamat-amd-radeon-r7-performance-series-r7s44g2606u1s-4-gb/
"Оперативная память Apacer [EL.04G2V.KNH] 4 ГБ [DDR4, 4 ГБx1 шт, 2666 МГц, PC21300, 19-19-19-40]",2099,https://www.dns-shop.ru/product/b2eb2c30c1f63330/operativnaa-pamat-apacer-el04g2vknh-4-gb/
"Оперативная память Goodram [GR2400D464L17S/4G] 4 ГБ [DDR4, 4 ГБx1 шт, 2400 МГц, PC19200, 17-17-17]",2099,https://www.dns-shop.ru/product/4445151c78263330/operativnaa-pamat-goodram-gr2400d464l17s4g-4-gb/
"Оперативная память Hynix [H5AN4G8NAFR - VKC] 4 ГБ [DDR4, 4 ГБx1 шт, 2666 МГц, PC21300, 19-19-19-32]",2099,https://www.dns-shop.ru/product/a2af1882c53c1b80/operativnaa-pamat-hynix-h5an4g8nafr---vkc-4-gb/
"Оперативная память Hynix [H5AN4G8NMFR-UHC] 4 ГБ [DDR4, 4 ГБx1 шт, 2400 МГц, PC19200, 17-17-17]",2099,https://www.dns-shop.ru/product/cff8c81d065c3330/operativnaa-pamat-hynix-h5an4g8nmfr-uhc-4-gb/
"Оперативная память Hynix [HMA851U6CJR6N-UH] 4 ГБ [DDR4, 4 ГБx1 шт, 2400 МГц, PC19200, 17-17-17-32]",2099,https://www.dns-shop.ru/product/ef586b785e413330/operativnaa-pamat-hynix-hma851u6cjr6n-uh-4-gb/
"Оперативная память Patriot Signature Line [PSD44G266681] 4 ГБ [DDR4, 4 ГБx1 шт, 2666 МГц, PC21300, 19-19-19-43]",2099,https://www.dns-shop.ru/product/b2eb2c66c1f63330/operativnaa-pamat-patriot-signature-line-psd44g266681-4-gb/
"Оперативная память Patriot Signature [PSD34G1600L81] 4 ГБ [DDR3L, 4 ГБx1 шт, 1600 МГц, PC12800, 11-11-11-28]",2099,https://www.dns-shop.ru/product/6b53f37b60293330/operativnaa-pamat-patriot-signature-psd34g1600l81-4-gb/
"Оперативная память Patriot Signature [PSD44G240081] 4 ГБ [DDR4, 4 ГБx1 шт, 2400 МГц, PC19200, 17-17-17-39]",2099,https://www.dns-shop.ru/product/f85ca6bad6dc3330/operativnaa-pamat-patriot-signature-psd44g240081-4-gb/
"Оперативная память QUMO [QUM4U-4G2400C16] 4 ГБ [DDR4, 4 ГБx1 шт, 2400 МГц, PC19200, 16-16-16-38]",2099,https://www.dns-shop.ru/product/8066701b7e1c3330/operativnaa-pamat-qumo-qum4u-4g2400c16-4-gb/
"Оперативная память QUMO [QUM4U-4G2666C19] 4 ГБ [DDR4, 4 ГБx1 шт, 2666 МГц, PC21300, 19-19]",2099,https://www.dns-shop.ru/product/3bbcdccbd8e21b80/operativnaa-pamat-qumo-qum4u-4g2666c19-4-gb/
