Íאחגאםטו עמגאנא,Öוםא עמגאנא,Ñסûכךא םא עמגאנ
"Ïנמצוססמנ AMD FX-4300 OEM [4 x 3800 ÌÃצ, L2 - 4 ÌÁ, L3 - 4 ÌÁ, 2ץDDR3-1866 ÌÃצ, TDP 95 Âע]",4399,https://www.dns-shop.ru/product/21b660ca60db526f/processor-amd-fx-4300-oem/
Ïנמצוססמנ AMD FX-4320 OEM Ïנמצוססמנ AMD FX-4320 4.0GHz (Turbo up to 4.2GHz) 8Mb DDR3-1866 Socket-AM3+ OEM,4499,https://www.dns-shop.ru/product/f4db8aab61473120/processor-amd-fx-4320-oem/
"Ïנמצוססמנ AMD FX-4330 OEM [4 x 4000 ÌÃצ, L2 - 4 ÌÁ, L3 - 8 ÌÁ, 2ץDDR3-1866 ÌÃצ, TDP 95 Âע]",4599,https://www.dns-shop.ru/product/aedcd30837233361/processor-amd-fx-4330-oem/
"Ïנמצוססמנ AMD FX-4350 OEM [4 x 4200 ÌÃצ, L2 - 4 ÌÁ, L3 - 8 ÌÁ, 2ץDDR3-1866 ÌÃצ, TDP 125 Âע]",4699,https://www.dns-shop.ru/product/ebf0f57bb77c30b1/processor-amd-fx-4350-oem/
"Ïנמצוססמנ AMD FX-4300 BOX [AM3+, 4 x 3800 ÌÃצ, L2 - 4 ÌÁ, L3 - 4 ÌÁ, 2ץDDR3-1866 ÌÃצ, TDP 95 Âע, ךףכונ]",4799,https://www.dns-shop.ru/product/c3c60e33a1982ff1/processor-amd-fx-4300-box/
"Ïנמצוססמנ AMD A8-9600 OEM [AM4, 4 x 3100 ÌÃצ, L2 - 2 ÌÁ, 2ץDDR4-2400 ÌÃצ, Radeon R7, TDP 65 Âע]",4850,https://www.dns-shop.ru/product/626dc3297e3f3330/processor-amd-a8-9600-oem/
"Ïנמצוססמנ AMD Athlon 200GE OEM [AM4, 2 x 3200 ÌÃצ, L2 - 1 ÌÁ, L3 - 4 ÌÁ, 2ץDDR4-2667 ÌÃצ, Radeon Vega 3, TDP 35 Âע]",4899,https://www.dns-shop.ru/product/2310b40eaccd3330/processor-amd-athlon-200ge-oem/
"Ïנמצוססמנ AMD Athlon 3000G OEM [AM4, 2 x 3500 ÌÃצ, L2 - 1 ÌÁ, L3 - 4 ÌÁ, 2ץDDR4-2667 ÌÃצ, Radeon Vega 3, TDP 35 Âע]",5199,https://www.dns-shop.ru/product/c04fd8bf09a03332/processor-amd-athlon-3000g-oem/
"Ïנמצוססמנ AMD FX-6330 OEM [6 x 3600 ÌÃצ, L2 - 6 ÌÁ, L3 - 8 ÌÁ, 2ץDDR3-1866 ÌÃצ, TDP 95 Âע]",6299,https://www.dns-shop.ru/product/dd19bb6471033330/processor-amd-fx-6330-oem/
"Ïנמצוססמנ Intel Celeron G5905 BOX [LGA 1200, 2 x 3500 ÌÃצ, L2 - 512 ÊÁ, L3 - 4 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 610, TDP 58 Âע, ךףכונ]",7599,https://www.dns-shop.ru/product/a586c07dfedb1b80/processor-intel-celeron-g5905-box/
"Ïנמצוססמנ Intel Celeron G5925 BOX [LGA 1200, 2 x 3600 ÌÃצ, L2 - 512 ÊÁ, L3 - 4 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 610, TDP 58 Âע, ךףכונ]",7999,https://www.dns-shop.ru/product/2f878fe5fedb1b80/processor-intel-celeron-g5925-box/
"Ïנמצוססמנ Intel Pentium Gold G6400 OEM [LGA 1200, 2 x 4000 ÌÃצ, L2 - 512 ÊÁ, L3 - 4 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 610, TDP 58 Âע]",8999,https://www.dns-shop.ru/product/1e516fdd6a793332/processor-intel-pentium-gold-g6400-oem/
"Ïנמצוססמנ Intel Pentium Gold G5420 OEM [LGA 1151-v2, 2 x 3800 ÌÃצ, L2 - 512 ÊÁ, L3 - 4 ÌÁ, 2ץDDR4-2400 ÌÃצ, Intel UHD Graphics 610, TDP 54 Âע]",9199,https://www.dns-shop.ru/product/9320b76075253332/processor-intel-pentium-gold-g5420-oem/
"Ïנמצוססמנ AMD Ryzen 3 PRO 1200 OEM [AM4, 4 x 3100 ÌÃצ, L2 - 2 ÌÁ, L3 - 8 ÌÁ, 2ץDDR4-2667 ÌÃצ, TDP 65 Âע]",9299,https://www.dns-shop.ru/product/de2bd08c683a3330/processor-amd-ryzen-3-pro-1200-oem/
"Ïנמצוססמנ Intel Pentium Gold G6400 BOX [LGA 1200, 2 x 4000 ÌÃצ, L2 - 512 ÊÁ, L3 - 4 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 610, TDP 58 Âע, ךףכונ]",9299,https://www.dns-shop.ru/product/feb0d3fd6a783332/processor-intel-pentium-gold-g6400-box/
"Ïנמצוססמנ Intel Pentium Gold G6405 OEM [LGA 1200, 2 x 4100 ÌÃצ, L3 - 4 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 610, TDP 58 Âע]",9299,https://www.dns-shop.ru/product/326743c86b793332/processor-intel-pentium-gold-g6405-oem/
"Ïנמצוססמנ AMD Ryzen 3 1200 BOX [AM4, 4 x 3100 ÌÃצ, L2 - 2 ÌÁ, L3 - 8 ÌÁ, 2ץDDR4-2667 ÌÃצ, TDP 65 Âע, ךףכונ]",9499,https://www.dns-shop.ru/product/d195e04b6fdf1b80/processor-amd-ryzen-3-1200-box/
"Ïנמצוססמנ Intel Pentium Gold G6500 OEM [LGA 1200, 2 x 4100 ÌÃצ, L2 - 512 ÊÁ, L3 - 4 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 58 Âע]",9599,https://www.dns-shop.ru/product/aec7dc1f6a783332/processor-intel-pentium-gold-g6500-oem/
"Ïנמצוססמנ Intel Pentium Gold G6600 OEM [LGA 1200, 2 x 4200 ÌÃצ, L2 - 512 ÊÁ, L3 - 4 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 58 Âע]",9599,https://www.dns-shop.ru/product/06b2ed1c6a783332/processor-intel-pentium-gold-g6600-oem/
"Ïנמצוססמנ Intel Pentium Gold G6405 BOX [LGA 1200, 2 x 4100 ÌÃצ, L3 - 4 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 610, TDP 58 Âע, ךףכונ]",9699,https://www.dns-shop.ru/product/89a5f0c76b783332/processor-intel-pentium-gold-g6405-box/
"Ïנמצוססמנ Intel Pentium Gold G6500 BOX [LGA 1200, 2 x 4100 ÌÃצ, L2 - 512 ÊÁ, L3 - 4 ÌÁ, 2ץDDR4-2666 ÌÃצ, Intel UHD Graphics 630, TDP 58 Âע, ךףכונ]",9699,https://www.dns-shop.ru/product/88646ebc6a783332/processor-intel-pentium-gold-g6500-box/
